Start,Finish,Steps (count)
18-Jun-2015 00:00,19-Jun-2015 00:00,3306.0
19-Jun-2015 00:00,20-Jun-2015 00:00,3667.0
20-Jun-2015 00:00,21-Jun-2015 00:00,2663.0
21-Jun-2015 00:00,22-Jun-2015 00:00,2088.0
22-Jun-2015 00:00,23-Jun-2015 00:00,3263.0
23-Jun-2015 00:00,24-Jun-2015 00:00,2619.0
24-Jun-2015 00:00,25-Jun-2015 00:00,589.0
25-Jun-2015 00:00,26-Jun-2015 00:00,6583.0
26-Jun-2015 00:00,27-Jun-2015 00:00,3348.0
27-Jun-2015 00:00,28-Jun-2015 00:00,5591.0
28-Jun-2015 00:00,29-Jun-2015 00:00,4318.0
29-Jun-2015 00:00,30-Jun-2015 00:00,5053.0
30-Jun-2015 00:00,01-Jul-2015 00:00,4157.0
01-Jul-2015 00:00,02-Jul-2015 00:00,4202.0
02-Jul-2015 00:00,03-Jul-2015 00:00,4343.0
03-Jul-2015 00:00,04-Jul-2015 00:00,3851.0
04-Jul-2015 00:00,05-Jul-2015 00:00,5844.0
05-Jul-2015 00:00,06-Jul-2015 00:00,1298.0
06-Jul-2015 00:00,07-Jul-2015 00:00,4251.0
07-Jul-2015 00:00,08-Jul-2015 00:00,3826.0
08-Jul-2015 00:00,09-Jul-2015 00:00,4494.0
09-Jul-2015 00:00,10-Jul-2015 00:00,6602.0
10-Jul-2015 00:00,11-Jul-2015 00:00,6516.0
11-Jul-2015 00:00,12-Jul-2015 00:00,4452.0
12-Jul-2015 00:00,13-Jul-2015 00:00,4187.0
13-Jul-2015 00:00,14-Jul-2015 00:00,6863.0
14-Jul-2015 00:00,15-Jul-2015 00:00,5407.0
15-Jul-2015 00:00,16-Jul-2015 00:00,5444.0
16-Jul-2015 00:00,17-Jul-2015 00:00,4240.0
17-Jul-2015 00:00,18-Jul-2015 00:00,716.0
18-Jul-2015 00:00,19-Jul-2015 00:00,1378.0
19-Jul-2015 00:00,20-Jul-2015 00:00,474.0
20-Jul-2015 00:00,21-Jul-2015 00:00,7815.0
21-Jul-2015 00:00,22-Jul-2015 00:00,5139.0
22-Jul-2015 00:00,23-Jul-2015 00:00,3777.0
23-Jul-2015 00:00,24-Jul-2015 00:00,11635.0
